Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Seychelles,Africa,866,8805.56,240,22,3,30.5,2,0,Clusters of cases
Bhutan,South-East Asia,851,1102.89,17,1,1,1.3,0,0,Clusters of cases
Papua New Guinea,Western Pacific,844,94.33,10,0,9,1.01,0,0,Community transmission
Other,Other,745,,0,0,13,,0,0,Not applicable
Saint Lucia,Americas,718,3910.1,216,5,8,43.57,2,0,Sporadic cases
Bermuda,Americas,684,10983.89,20,0,12,192.7,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,655,5904.09,315,53,2,18.03,2,0,Clusters of cases
Faroe Islands,Europe,652,13342.88,5,0,1,20.46,0,0,Sporadic cases
Mauritius,Africa,556,437.19,10,0,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Cambodia,Western Pacific,456,27.27,30,3,0,0,0,0,Sporadic cases
Isle of Man,Europe,432,5080.44,18,0,25,294.01,0,0,No cases
Cayman Islands,Americas,381,5797.32,14,0,2,30.43,0,0,Sporadic cases
Bonaire,Americas,349,16686.59,31,1,3,143.44,0,0,Community transmission
Guernsey,Europe,310,4905.37,2,1,13,205.71,0,0,Community transmission
Saint Barthélemy,Americas,281,28426.91,57,0,0,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,190,1940.18,6,0,6,61.27,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,174,397.73,0,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,139,1235.3,0,0,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,129,2241.26,1,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,121,4001.72,7,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,113,1569.64,4,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,55,61.35,2,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,53,40.2,2,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,44,154.12,4,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,35,10048.81,3,0,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,35,657.99,1,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,6371.46,1,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,1,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Samoa,Western Pacific,2,10.08,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,1,8.69,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
